Rotation,Scale,name_of_to,district,state,ELEVATION,Lat,Long
0,0.000000000000000,GORISAR,CHURU,RAJASTHAN,0,28.1553001,74.6845016
0,0.000000000000000,ROHAL,SIKAR,RAJASTHAN,0,28.0520992,74.8532028
0,0.000000000000000,LACHHARSAR,CHURU,RAJASTHAN,0,28.1058998,74.3460007
0,0.000000000000000,RAJALDESAR,CHURU,RAJASTHAN,0,28.0330009,74.4601974
0,0.000000000000000,TAULIYASAR,CHURU,RAJASTHAN,0,28.1478996,74.0786972
0,0.000000000000000,SHRI DUNGARGARH,CHURU,RAJASTHAN,0,28.1023006,74.0120010
0,0.000000000000000,DOLWA,CHURU,RAJASTHAN,0,28.2840004,73.9537964
0,0.000000000000000,BIRANIYAN,SIKAR,RAJASTHAN,0,27.9479008,74.8389969
0,0.000000000000000,MAINASAR(BARAGAON),CHURU,RAJASTHAN,0,27.9267998,74.6781006
0,0.000000000000000,KHUM,CHURU,RAJASTHAN,0,27.8297005,74.6937027
0,0.000000000000000,PARIHARA,CHURU,RAJASTHAN,0,27.9326992,74.5511017
0,0.000000000000000,JAITASAR,CHURU,RAJASTHAN,0,27.9146004,74.4254990
0,0.000000000000000,DHADHERN,CHURU,RAJASTHAN,0,27.9622002,74.3419037
0,0.000000000000000,MINGSARIA,CHURU,RAJASTHAN,0,27.9058990,74.1533966
0,0.000000000000000,SANDWA,CHURU,RAJASTHAN,0,27.7553997,74.1638031
0,0.000000000000000,BIDASAR,CHURU,RAJASTHAN,0,27.8379993,74.3121033
0,0.000000000000000,CHHAPAR,CHURU,RAJASTHAN,0,27.8206997,74.4356003
0,0.000000000000000,CHARWAS,CHURU,RAJASTHAN,0,27.8082008,74.4021988
0,0.000000000000000,GOPALPURA,CHURU,RAJASTHAN,0,27.7549992,74.3868027
0,0.000000000000000,PAREWRA,CHURU,RAJASTHAN,0,27.6769009,74.1511993
0,0.000000000000000,MALSISAR,CHURU,RAJASTHAN,0,27.7509003,74.5852966
0,0.000000000000000,BADABAR,CHURU,RAJASTHAN,0,27.7847996,74.5692978
0,0.000000000000000,HARASAR,CHURU,RAJASTHAN,0,27.8819008,74.5755997
0,0.000000000000000,SALASAR,CHURU,RAJASTHAN,0,27.7215996,74.7142029
0,0.000000000000000,MAGLUNA,SIKAR,RAJASTHAN,0,27.7474003,74.7883987
0,0.000000000000000,BHIMSA,CHURU,RAJASTHAN,0,27.6907005,74.6380997
0,0.000000000000000,NECHBWA,SIKAR,RAJASTHAN,0,27.6191998,74.7611008
0,0.000000000000000,MITHRI,NAGAUR,RAJASTHAN,0,27.5732002,74.6819992
0,0.000000000000000,KASUMBI,NAGAUR,RAJASTHAN,0,27.6415005,74.4983978
0,0.000000000000000,JASWANTGARH,NAGAUR,RAJASTHAN,0,27.6534004,74.4605026
0,0.000000000000000,LADNUN,NAGAUR,RAJASTHAN,0,27.6427994,74.3902969
0,0.000000000000000,SUJANGARH,CHURU,RAJASTHAN,0,27.7057991,74.4739990
0,0.000000000000000,DHYAWA,NAGAUR,RAJASTHAN,0,27.5405998,74.6277008
0,0.000000000000000,BALDU,NAGAUR,RAJASTHAN,0,27.4789009,74.4142990
0,0.000000000000000,SANWRAD,NAGAUR,RAJASTHAN,0,27.5140991,74.4968033
0,0.000000000000000,NUNBI JODHAN,NAGAUR,RAJASTHAN,0,27.5305996,74.3404999
0,0.000000000000000,HUDAS,NAGAUR,RAJASTHAN,0,27.4979000,74.2343979
0,0.000000000000000,SAWA,NAGAUR,RAJASTHAN,0,27.4349003,74.6744003
0,0.000000000000000,DAULATPURA,NAGAUR,RAJASTHAN,0,27.3817005,74.6475983
0,0.000000000000000,SIRRWA,NAGAUR,RAJASTHAN,0,27.3920994,74.3836975
0,0.000000000000000,SARARI,NAGAUR,RAJASTHAN,0,27.5445004,74.5528030
0,0.000000000000000,DHANKAH,NAGAUR,RAJASTHAN,0,27.3302994,74.8167038
0,0.000000000000000,MAULASAR,NAGAUR,RAJASTHAN,0,27.3110008,74.7341995
0,0.000000000000000,NIMOD,NAGAUR,RAJASTHAN,0,27.2497005,74.7885971
0,0.000000000000000,CHARNWAS,NAGAUR,RAJASTHAN,0,27.2458992,74.8746033
0,0.000000000000000,KUCHAMAN,NAGAUR,RAJASTHAN,0,27.1529007,74.8607025
0,0.000000000000000,BUDSU,NAGAUR,RAJASTHAN,0,27.1485996,74.7275009
0,0.000000000000000,TOSINA,NAGAUR,RAJASTHAN,0,27.1816998,74.5339966
0,0.000000000000000,KERAP,NAGAUR,RAJASTHAN,0,27.2971001,74.3945999
0,0.000000000000000,KHINYALA,NAGAUR,RAJASTHAN,0,27.2973995,74.2046967
0,0.000000000000000,SILANWAD,NAGAUR,RAJASTHAN,0,27.3421993,74.2671967
0,0.000000000000000,CHHAJOLI,NAGAUR,RAJASTHAN,0,27.1664009,74.2309036
0,0.000000000000000,KATHOTI,NAGAUR,RAJASTHAN,0,27.2490997,74.2914963
0,0.000000000000000,KHATU,NAGAUR,RAJASTHAN,0,27.1324005,74.3214035
0,0.000000000000000,RANIGAON,NAGAUR,RAJASTHAN,0,27.0916004,74.4250031
0,0.000000000000000,JNSRI,NAGAUR,RAJASTHAN,0,27.0690994,74.7657013
0,0.000000000000000,BORAWAR,NAGAUR,RAJASTHAN,0,27.0212994,74.6784973
0,0.000000000000000,RAMSIA,NAGAUR,RAJASTHAN,0,27.0415993,74.4804993
0,0.000000000000000,KOLIA,NAGAUR,RAJASTHAN,0,27.3502007,74.4800034
0,0.000000000000000,GORAU,NAGAUR,RAJASTHAN,0,27.4344997,74.2332993
0,0.000000000000000,ROHINA,NAGAUR,RAJASTHAN,0,27.1023998,74.1714020
0,0.000000000000000,PHARROD,NAGAUR,RAJASTHAN,0,27.1380005,74.0724030
0,0.000000000000000,CHHAPRA,NAGAUR,RAJASTHAN,0,27.3265991,74.0336990
0,0.000000000000000,JAYAL,NAGAUR,RAJASTHAN,0,27.2208004,74.1876984
0,0.000000000000000,JHARELI,NAGAUR,RAJASTHAN,0,27.3990993,74.0290985
0,0.000000000000000,SURPALIA,NAGAUR,RAJASTHAN,0,27.4717007,74.0547028
0,0.000000000000000,KARNAOTA,CHURU,RAJASTHAN,0,27.4733009,74.1520996
